Day,Sale Description,Time of Sale,Location of Sale
7/3/2023,Free SnOcones,11 AM - 1 PM,Mobile Trailer
7/22/2023,"Buy 1 get 1 of equal or lesser value for free, toppings extra",All day,East and Main
8/18/2023,Free Toppings,All day,East and Main
9/1/2023,Free SnOcones,11 AM - 1 PM,Mobile Trailer
9/17/2023,Free size upgrade and free cream topping on fall flavors,All day,East and Main
10/8/2023,Free toppings on pumpkin spice latte,All day,East and Main
10/17/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/18/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/19/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/20/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/21/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/22/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/23/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/24/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/25/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/26/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/27/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/28/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/29/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/30/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/31/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
11/01/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
11/02/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
11/03/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
11/04/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
11/05/2023,"One dollar menu added for medium snOcones, toppings still extra",All day,East and Main
10/24/2023,Free toppings,All day,Main
